Price,close,high,low,open,volume
Ticker,ZC=F,ZC=F,ZC=F,ZC=F,ZC=F
date,,,,,
2025-11-03 13:00:00,432.25,432.75,431.5,432.25,3460
2025-11-03 13:30:00,432.75,433.25,432.25,432.25,2335
2025-11-03 14:00:00,432.5,433.0,432.0,432.5,1727
2025-11-03 14:30:00,432.5,432.75,432.0,432.25,630
2025-11-03 15:30:00,429.75,432.75,429.25,432.0,25986
2025-11-03 16:00:00,428.5,430.25,427.75,430.0,17395
2025-11-03 16:30:00,429.5,430.25,427.75,428.5,16946
2025-11-03 17:00:00,431.0,431.0,429.0,429.5,21553
2025-11-03 17:30:00,431.75,432.5,430.25,431.0,15983
2025-11-03 18:00:00,433.5,434.25,431.75,431.75,16621
2025-11-03 18:30:00,434.0,434.25,433.0,433.75,6892
2025-11-03 19:00:00,434.75,435.0,434.0,434.25,12647
2025-11-03 19:30:00,434.0,435.0,433.5,434.5,7880
2025-11-03 20:00:00,434.75,435.0,433.5,433.75,23543
2025-11-04 02:00:00,433.25,434.5,433.0,434.0,1400
2025-11-04 02:30:00,434.25,434.5,433.25,433.25,3245
2025-11-04 03:00:00,433.5,434.25,433.5,434.25,575
2025-11-04 03:30:00,433.5,433.75,433.25,433.5,460
2025-11-04 04:00:00,433.25,433.5,433.0,433.5,468
2025-11-04 04:30:00,433.25,433.5,433.0,433.25,373
2025-11-04 05:00:00,433.25,433.5,433.25,433.5,103
2025-11-04 05:30:00,433.5,433.75,433.25,433.25,274
2025-11-04 06:00:00,433.5,433.75,433.25,433.25,42
2025-11-04 06:30:00,432.5,433.5,432.5,433.5,488
2025-11-04 07:00:00,432.5,433.0,432.25,432.75,573
2025-11-04 07:30:00,432.0,432.5,432.0,432.5,491
2025-11-04 08:00:00,432.25,432.5,432.0,432.0,1143
2025-11-04 08:30:00,432.0,432.5,432.0,432.25,268
2025-11-04 09:00:00,432.5,433.0,432.0,432.25,679
2025-11-04 09:30:00,432.75,432.75,432.0,432.5,557
2025-11-04 10:00:00,433.0,433.25,432.75,433.0,424
2025-11-04 10:30:00,432.75,433.5,432.5,432.75,586
2025-11-04 11:00:00,432.5,432.75,432.0,432.75,710
2025-11-04 11:30:00,432.25,433.0,432.25,432.75,609
2025-11-04 12:00:00,432.75,432.75,432.0,432.0,1657
2025-11-04 12:30:00,431.25,433.0,431.0,432.75,2853
2025-11-04 13:00:00,430.75,431.25,430.5,431.25,710
2025-11-04 13:30:00,430.5,431.25,430.25,430.75,3420
2025-11-04 14:00:00,430.0,431.0,430.0,430.75,3390
2025-11-04 14:30:00,430.0,430.5,430.0,430.25,1525
2025-11-04 15:30:00,430.25,431.5,429.5,430.25,22450
2025-11-04 16:00:00,430.5,431.0,429.5,430.5,12092
2025-11-04 16:30:00,430.5,431.25,429.75,430.5,12783
2025-11-04 17:00:00,429.5,430.25,429.25,430.25,14445
2025-11-04 17:30:00,430.0,431.25,429.5,429.5,12146
2025-11-04 18:00:00,429.75,430.75,429.75,430.0,10213
2025-11-04 18:30:00,429.75,430.5,429.75,429.75,4788
2025-11-04 19:00:00,429.75,430.0,429.25,429.75,10839
2025-11-04 19:30:00,431.0,431.25,429.75,430.0,11122
2025-11-04 20:00:00,430.75,431.75,430.5,431.0,15648
2025-11-05 02:00:00,429.5,430.75,429.0,430.5,3146
2025-11-05 02:30:00,429.25,429.75,428.75,429.25,2611
2025-11-05 03:00:00,429.5,429.5,429.0,429.0,484
2025-11-05 03:30:00,429.25,429.75,429.25,429.25,190
2025-11-05 04:00:00,430.0,430.0,429.5,429.5,625
2025-11-05 04:30:00,430.25,430.25,429.75,429.75,420
2025-11-05 05:00:00,430.75,431.5,430.25,430.25,2695
2025-11-05 05:30:00,430.25,431.0,430.25,431.0,164
2025-11-05 06:00:00,430.25,430.75,430.0,430.0,316
2025-11-05 06:30:00,430.25,430.5,430.25,430.5,281
2025-11-05 07:00:00,430.75,430.75,430.25,430.5,902
2025-11-05 07:30:00,430.75,430.75,430.0,430.5,1099
2025-11-05 08:00:00,431.25,431.75,430.75,430.75,1067
2025-11-05 08:30:00,431.5,431.5,431.25,431.25,417
2025-11-05 09:00:00,431.75,432.25,431.25,431.5,1507
2025-11-05 09:30:00,431.5,431.75,431.25,431.5,1110
2025-11-05 10:00:00,432.0,432.25,431.0,431.25,1077
2025-11-05 10:30:00,432.0,432.5,431.75,432.0,3124
2025-11-05 11:00:00,432.5,432.75,431.75,432.0,1441
2025-11-05 11:30:00,431.75,432.5,431.75,432.5,591
2025-11-05 12:00:00,431.75,432.5,431.75,432.0,1378
2025-11-05 12:30:00,431.75,432.0,431.5,431.75,885
2025-11-05 13:00:00,431.75,432.0,431.0,431.5,1687
2025-11-05 13:30:00,431.75,432.25,431.5,432.0,3229
2025-11-05 14:00:00,430.75,431.75,430.5,431.75,2564
2025-11-05 14:30:00,431.25,431.25,430.75,430.75,859
2025-11-05 15:30:00,432.5,433.25,430.25,431.25,21706
2025-11-05 16:00:00,434.0,434.25,431.75,432.5,11250
2025-11-05 16:30:00,434.5,435.0,433.5,433.75,26123
2025-11-05 17:00:00,434.25,435.0,433.75,434.5,11558
2025-11-05 17:30:00,435.25,435.25,434.0,434.0,12557
2025-11-05 18:00:00,434.75,435.75,434.75,435.0,8463
2025-11-05 18:30:00,434.5,435.5,434.25,434.75,15022
2025-11-05 19:00:00,434.5,435.0,433.75,434.5,8915
2025-11-05 19:30:00,435.0,435.0,434.25,434.5,7148
2025-11-05 20:00:00,435.0,436.0,434.75,435.0,18805
2025-11-06 02:00:00,433.5,434.75,433.0,434.5,1795
2025-11-06 02:30:00,433.0,434.0,433.0,433.5,2821
2025-11-06 03:00:00,432.75,433.5,432.75,433.0,3397
2025-11-06 03:30:00,432.75,433.25,432.75,432.75,1313
2025-11-06 04:00:00,433.0,433.0,432.75,432.75,316
2025-11-06 04:30:00,432.75,433.0,432.75,432.75,8
2025-11-06 05:00:00,433.5,433.5,432.75,432.75,521
2025-11-06 05:30:00,433.25,433.5,433.25,433.5,637
2025-11-06 06:00:00,433.5,433.5,433.25,433.5,145
2025-11-06 06:30:00,433.25,433.25,433.25,433.25,7
2025-11-06 07:00:00,433.5,433.75,433.25,433.5,779
2025-11-06 07:30:00,433.5,433.5,433.25,433.5,756
2025-11-06 08:00:00,433.25,433.5,433.25,433.25,128
2025-11-06 08:30:00,432.75,433.25,432.75,433.25,2281
2025-11-06 09:00:00,433.75,433.75,432.75,433.0,540
2025-11-06 09:30:00,433.75,433.75,433.0,433.75,1458
2025-11-06 10:00:00,433.75,433.75,433.5,433.5,140
2025-11-06 10:30:00,433.5,433.75,433.25,433.75,476
2025-11-06 11:00:00,433.75,433.75,433.5,433.5,629
2025-11-06 11:30:00,433.75,434.0,433.25,433.75,1209
2025-11-06 12:00:00,433.5,434.0,433.25,433.75,1168
2025-11-06 12:30:00,433.5,433.75,433.25,433.5,267
2025-11-06 13:00:00,433.0,433.25,432.5,433.25,1838
2025-11-06 13:30:00,433.25,433.5,433.0,433.0,1736
2025-11-06 14:00:00,432.75,433.5,432.5,433.0,1379
2025-11-06 14:30:00,433.0,433.0,432.5,432.75,641
2025-11-06 15:30:00,432.0,433.0,430.25,432.75,37679
2025-11-06 16:00:00,430.25,432.5,430.0,431.75,16886
2025-11-06 16:30:00,429.25,430.5,429.25,430.25,11271
2025-11-06 17:00:00,428.75,430.0,428.25,429.5,16738
2025-11-06 17:30:00,428.25,429.25,428.25,429.0,11850
2025-11-06 18:00:00,429.5,430.25,428.25,428.25,14793
2025-11-06 18:30:00,429.25,430.0,428.75,429.5,6359
2025-11-06 19:00:00,429.0,429.75,428.75,429.5,6845
2025-11-06 19:30:00,428.75,430.25,428.75,429.25,9483
2025-11-06 20:00:00,428.75,429.25,428.25,428.75,25102
