date,open,high,low,close,volume
2025-11-23 16:00:00,130.74,130.96,130.43,130.61,10782.46
2025-11-23 16:05:00,130.61,131.05,130.44,131.01,13282.482
2025-11-23 16:10:00,131.0,131.33,130.95,131.23,3862.263
2025-11-23 16:15:00,131.22,131.35,131.08,131.32,4016.069
2025-11-23 16:20:00,131.32,131.46,130.81,131.07,13007.564
2025-11-23 16:25:00,131.07,131.18,130.86,131.11,3443.387
2025-11-23 16:30:00,131.1,131.53,130.95,131.48,6626.568
2025-11-23 16:35:00,131.49,131.96,131.42,131.9,10141.559
2025-11-23 16:40:00,131.91,132.69,131.86,132.66,66814.515
2025-11-23 16:45:00,132.66,132.8,132.32,132.44,46487.217
2025-11-23 16:50:00,132.44,132.66,132.38,132.43,20754.218
2025-11-23 16:55:00,132.43,133.13,132.42,132.87,50731.341
2025-11-23 17:00:00,132.88,133.32,132.76,133.22,26450.172
2025-11-23 17:05:00,133.22,133.47,132.63,132.72,26407.997
2025-11-23 17:10:00,132.71,132.77,132.32,132.42,10096.597
2025-11-23 17:15:00,132.41,132.59,132.3,132.32,9942.057
2025-11-23 17:20:00,132.32,132.36,132.1,132.12,9918.141
2025-11-23 17:25:00,132.12,132.29,131.93,132.1,16242.609
2025-11-23 17:30:00,132.1,132.65,131.94,132.52,14028.707
2025-11-23 17:35:00,132.53,132.79,132.51,132.78,6356.899
2025-11-23 17:40:00,132.78,132.89,132.66,132.81,5597.592
2025-11-23 17:45:00,132.81,132.81,132.53,132.76,6130.249
2025-11-23 17:50:00,132.75,132.76,132.54,132.62,3839.824
2025-11-23 17:55:00,132.62,132.87,131.73,131.79,17492.7
2025-11-23 18:00:00,131.78,131.87,131.08,131.52,30787.913
2025-11-23 18:05:00,131.53,131.58,131.21,131.25,12265.179
2025-11-23 18:10:00,131.25,131.44,131.12,131.3,6296.446
2025-11-23 18:15:00,131.29,131.37,130.91,131.06,12344.314
2025-11-23 18:20:00,131.06,131.32,130.84,130.96,7344.125
2025-11-23 18:25:00,130.96,131.7,130.88,131.63,10802.607
2025-11-23 18:30:00,131.64,131.64,131.16,131.49,6328.231
2025-11-23 18:35:00,131.49,131.91,131.39,131.67,4526.374
2025-11-23 18:40:00,131.68,131.8,131.6,131.74,3487.527
2025-11-23 18:45:00,131.73,131.75,130.97,131.02,8968.417
2025-11-23 18:50:00,131.02,131.24,130.93,131.11,7236.195
2025-11-23 18:55:00,131.11,131.48,131.1,131.39,4129.66
2025-11-23 19:00:00,131.39,131.97,131.38,131.75,7851.972
2025-11-23 19:05:00,131.76,131.95,131.71,131.9,2696.974
2025-11-23 19:10:00,131.9,131.92,131.57,131.84,4153.961
2025-11-23 19:15:00,131.85,132.48,131.8,132.31,8117.494
2025-11-23 19:20:00,132.32,132.54,132.06,132.17,8006.918
2025-11-23 19:25:00,132.17,132.35,131.91,132.21,4863.367
2025-11-23 19:30:00,132.21,132.48,132.19,132.48,6318.287
2025-11-23 19:35:00,132.49,132.76,132.48,132.75,5800.781
2025-11-23 19:40:00,132.75,132.93,132.64,132.65,18959.188
2025-11-23 19:45:00,132.64,132.64,132.15,132.2,8756.113
2025-11-23 19:50:00,132.2,132.27,132.14,132.21,3229.318
2025-11-23 19:55:00,132.22,132.22,132.06,132.19,3222.448
2025-11-23 20:00:00,132.2,132.45,132.09,132.32,3297.684
2025-11-23 20:05:00,132.33,132.44,131.98,132.27,3871.538
2025-11-23 20:10:00,132.28,132.39,132.25,132.32,3010.353
